id,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,Lin,693.0,Germany,Male,59.0,10,126446.75,3,0.0,0.0,8153.79,1
2,Frolov,790.0,Spain,Male,34.0,9,0.0,2,0.0,0.0,121389.72,0
3,Nwankwo,649.0,France,Female,31.0,9,0.0,2,1.0,1.0,73454.56,0
5,Glennon,683.0,France,Female,31.0,4,0.0,1,1.0,0.0,,0
7,Chinwenma,624.0,Spain,Male,40.0,9,111665.52,1,1.0,0.0,94787.65,0
8,Ch'in,593.0,Germany,Male,36.0,7,114287.84,1,1.0,1.0,179194.62,0
9,Yashina,520.0,France,Male,43.0,4,93385.11,1,1.0,1.0,77301.42,1
10,Hargreaves,585.0,France,Male,31.0,9,137009.52,1,1.0,0.0,120695.66,0
11,Black,769.0,France,Female,41.0,3,0.0,1,1.0,1.0,58010.4,0
12,Yang,597.0,Spain,Male,36.0,9,0.0,2,1.0,1.0,7444.81,0
18,Uvarova,659.0,France,Female,44.0,0,0.0,1,1.0,0.0,183412.36,1
20,Chikwendu,516.0,France,Male,34.0,3,115189.31,1,1.0,0.0,95006.99,0
21,T'ao,642.0,France,Female,40.0,9,0.0,1,1.0,1.0,180272.07,0
22,Rose,711.0,France,Female,39.0,9,132589.83,1,0.0,1.0,170831.64,0
24,T'ien,746.0,France,Female,43.0,8,0.0,2,1.0,1.0,80787.5,0
25,Brown,817.0,France,Female,35.0,7,81038.78,2,0.0,0.0,81193.09,0
26,Kornilova,706.0,Germany,Male,35.0,7,135542.61,1,1.0,0.0,115816.61,0
27,Y?an,656.0,Spain,Male,30.0,2,0.0,2,1.0,1.0,162394.57,0
28,McGregor,684.0,France,Female,38.0,5,0.0,1,1.0,1.0,187786.85,1
30,Chukwubuikem,670.0,Spain,Female,37.0,7,121579.71,1,0.0,1.0,166916.25,0
32,Liu,648.0,France,Male,34.0,3,0.0,1,1.0,0.0,54571.18,0
